"項目","単位","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","2006_H18","2007_H19","2008_H20","2009_H21","2010_H22","2011_H23","2012_H24","2013_H25","2014_H26","2015_H27","有効数字(少数桁)"
"女_御坊市","","15637.0","15555.0","15430.0","15215.0","15047.0","14937.0","14803.0","14697.0","14727.0","14732.0","14713.0","14679.0","14594.0","14560.0","14521.0","14440.0","14457.0","14318.0","14160.0","14050.0","13950.0","13815.0","13659.0","13541.0","13518.0","13491.0","13375.0","13229.0","13118.0","12928.0","12828.0",""
"女_田辺市","","46179.0","45968.0","45806.0","45741.0","45457.0","45247.0","45107.0","45065.0","45141.0","45195.0","45172.0","45243.0","45263.0","45171.0","45121.0","44966.0","44865.0","44529.0","44258.0","43810.0","43461.0","43028.0","42692.0","42371.0","42066.0","41876.0","41422.0","40992.0","40738.0","40245.0","39664.0",""
"女_新宮市","","21481.0","21213.0","21026.0","20730.0","20458.0","20317.0","20099.0","19868.0","19744.0","19520.0","19467.0","19346.0","19224.0","19055.0","18975.0","18871.0","18781.0","18651.0","18469.0","18379.0","18185.0","17973.0","17598.0","17312.0","17096.0","16947.0","16782.0","16480.0","16301.0","15969.0","15748.0",""
"女_紀の川市","","33500.0","33610.0","33709.0","33698.0","33854.0","34082.0","34176.0","34628.0","35077.0","35542.0","36074.0","36408.0","36498.0","36699.0","36710.0","36702.0","36503.0","36314.0","36137.0","35915.0","35703.0","35662.0","35466.0","35061.0","34879.0","34701.0","34395.0","33922.0","33841.0","33475.0","33132.0",""
"女_岩出市","","14482.0","14801.0","15022.0","15448.0","16245.0","17004.0","17745.0","18565.0","19407.0","20497.0","21300.0","22165.0","23033.0","23671.0","24318.0","24788.0","25120.0","25538.0","25845.0","26307.0","26388.0","26772.0","26853.0","27025.0","27182.0","27352.0","27503.0","27652.0","27530.0","27703.0","27748.0",""
"女_紀美野町","","7863.0","7807.0","7734.0","7644.0","7546.0","7546.0","7457.0","7377.0","7285.0","7195.0","7153.0","7080.0","6963.0","6828.0","6719.0","6633.0","6565.0","6475.0","6423.0","6362.0","6256.0","6199.0","6057.0","5907.0","5770.0","5617.0","5495.0","5346.0","5253.0","5119.0","4989.0",""
"女_かつらぎ町","","12390.0","12280.0","12176.0","12050.0","11944.0","11888.0","11828.0","11809.0","11731.0","11658.0","11596.0","11475.0","11407.0","11285.0","11144.0","11048.0","10945.0","10865.0","10734.0","10583.0","10409.0","10282.0","10114.0","9956.0","9878.0","9728.0","9602.0","9425.0","9359.0","9262.0","9141.0",""
"女_九度山町","","3833.0","3847.0","3828.0","3771.0","3755.0","3732.0","3712.0","3658.0","3619.0","3571.0","3528.0","3483.0","3413.0","3344.0","3299.0","3225.0","3191.0","3145.0","3103.0","3019.0","2965.0","2914.0","2859.0","2794.0","2753.0","2695.0","2639.0","2565.0","2489.0","2413.0","2365.0",""
"女_高野町","","3201.0","3132.0","3108.0","3061.0","2981.0","2964.0","2938.0","2934.0","2893.0","2866.0","2850.0","2786.0","2731.0","2643.0","2600.0","2518.0","2469.0","2413.0","2349.0","2281.0","2218.0","2154.0","2091.0","2021.0","1987.0","1932.0","1880.0","1756.0","1702.0","1649.0","1604.0",""
"女_湯浅町","","8931.0","8900.0","8865.0","8791.0","8762.0","8727.0","8680.0","8589.0","8538.0","8543.0","8514.0","8445.0","8358.0","8282.0","8199.0","8203.0","8143.0","8073.0","8024.0","7943.0","7889.0","7706.0","7501.0","7299.0","7157.0","7018.0","6952.0","6820.0","6742.0","6615.0","6498.0",""
"女_広川町","","4732.0","4706.0","4714.0","4674.0","4668.0","4628.0","4567.0","4543.0","4540.0","4520.0","4538.0","4513.0","4445.0","4427.0","4420.0","4386.0","4335.0","4346.0","4325.0","4289.0","4269.0","4230.0","4191.0","4183.0","4150.0","4129.0","4064.0","4007.0","3992.0","3930.0","3847.0",""
"女_有田川町","","15760.0","15697.0","15675.0","15667.0","15631.0","15593.0","15621.0","15596.0","15537.0","15574.0","15557.0","15551.0","15555.0","15571.0","15550.0","15504.0","15448.0","15428.0","15332.0","15228.0","15079.0","14968.0","14847.0","14689.0","14522.0","14356.0","14237.0","14136.0","14106.0","14074.0","13997.0",""
"女_美浜町","","4865.0","4836.0","4878.0","4891.0","4848.0","4817.0","4825.0","4842.0","4817.0","4818.0","4802.0","4814.0","4798.0","4810.0","4756.0","4744.0","4765.0","4701.0","4644.0","4591.0","4557.0","4499.0","4447.0","4430.0","4393.0","4353.0","4287.0","4218.0","4157.0","4100.0","4035.0",""
"女_日高町","","3675.0","3656.0","3635.0","3621.0","3637.0","3619.0","3600.0","3631.0","3603.0","3625.0","3630.0","3610.0","3650.0","3679.0","3709.0","3736.0","3742.0","3741.0","3773.0","3808.0","3875.0","3901.0","3956.0","3937.0","3925.0","3928.0","3979.0","3967.0","3991.0","4009.0","4024.0",""
